SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn
DDR2	0	1	0	1
DDX1	0	1	0	1
DDX10	0	2	0	2
DDX17	0	0	1	0
DDX19A	0	1	0	1
DDX23	0	1	0	1
DDX3X	1	4	0	5
DDX41	0	0	1	0
DDX5	0	0	1	0
DDX51	0	1	0	1
DDX59	0	1	0	1
DDX60	0	1	1	1
DDX60L	1	1	1	2
DEF8	0	1	0	1
DEFB128	0	1	0	1
DENND2A	0	1	0	1
DENND2C	0	2	1	2
DENND3	0	0	1	0
DENND5A	0	1	0	1
DFFB	0	1	0	1
DGCR2	0	1	0	1
DGKA	0	1	0	1
DGKD	0	1	1	1
DGUOK	0	2	0	2
DHDH	0	1	0	1
DHX32	0	1	0	1
DHX33	0	0	1	0
DHX35	0	1	0	1
DHX36	0	0	1	0
DHX38	0	2	1	2
DHX57	0	0	1	0
DHX58	0	1	0	1
DHX8	0	1	1	1
DHX9	1	0	0	1
DIAPH3	0	3	0	3
DIDO1	0	3	2	3
DIP2A	0	0	1	0
DIP2C	0	2	1	2
DISC1	0	0	0	0
DISP1	0	1	0	1
DLC1	0	1	1	1
DLD	0	2	0	2
DLEC1	0	2	0	2
DLG2	0	1	0	1
DLGAP5	0	1	0	1
DLL4	0	1	0	1
DMBT1	0	1	0	1
DMBX1	0	1	0	1
DMWD	0	1	1	1
DMXL1	0	2	1	2
DMXL2	0	2	0	2
DNAH10	0	2	0	2
DNAH12	0	2	0	2
DNAH14	0	1	0	1
DNAH17	0	4	1	4
DNAH5	0	0	1	0
DNAH6	0	2	0	2
DNAH8	0	1	0	1
DNAH9	0	1	1	1
DNAJB1	1	0	0	1
DNAJB7	0	1	0	1
DNAJC1	0	0	1	0
DNAJC13	1	1	0	2
DNAJC28	0	0	1	0
DNAJC3	1	0	0	1
DNAJC5B	0	1	0	1
DNER	0	1	0	1
DNM1	0	0	1	0
DNM1L	1	0	0	1
DNM3	0	1	0	1
DNMT3A	0	1	0	1
DOCK10	1	0	0	1
DOCK11	0	0	1	0
DOCK2	0	1	0	1
DOCK3	1	0	0	1
DOCK4	0	2	0	2
DOCK6	0	0	1	0
DOCK9	0	1	0	1
DOK2	0	0	1	0
DOK4	0	1	0	1
DOPEY1	1	0	0	1
DPF1	0	0	1	0
DPF2	0	1	0	1
DPF3	0	1	0	1
DPH6	0	0	1	0
DPH7	0	1	0	1
DPP9	0	0	1	0
DPT	0	1	0	1
DPY19L1	0	1	0	1
DPYD	0	1	0	1
DPYSL5	0	1	0	1
DROSHA	0	1	0	1
DSC1	0	1	0	1
DSCAML1	0	6	0	6
DSE	0	1	0	1
DSEL	0	1	0	1
DSG2	0	1	0	1
DSP	0	1	0	1
DST	0	1	0	1
DSTYK	0	1	0	1
DTD2	0	1	0	1
DTHD1	0	1	0	1
DTNA	0	1	0	1
DTX1	0	1	0	1
DTX3L	0	1	0	1
DUS1L	0	1	0	1
DUS3L	0	1	0	1
DUSP23	0	1	0	1
DUSP27	0	1	0	1
DUSP8	0	1	0	1
DUXA	0	0	1	0
DVL1	0	1	0	1
DVL2	0	1	0	1
DVL3	0	1	0	1
DYNC1LI1	1	0	0	1
DYNC2H1	0	0	1	0
DYRK1A	3	1	0	4
DYX1C1	0	1	0	1
DZANK1	0	0	1	0
DZIP1	0	1	1	1
E4F1	0	1	0	1
EBF2	0	1	0	1
ECE1	0	1	0	1
ECE2	0	1	0	1
ECHDC3	0	0	1	0
ECI1	0	1	0	1
EDC4	0	1	0	1
EDEM1	0	1	0	1
EDN3	0	1	0	1
EDNRA	1	0	0	1
EEA1	1	0	0	1
EEF1A2	0	1	0	1
EEF2	0	2	0	2
EEPD1	0	3	0	3
EFCAB13	0	0	1	0
EFEMP2	0	0	0	0
EFHB	0	1	0	1
EFHD2	0	1	0	1
EFNB3	0	1	0	1
EFR3A	1	1	0	2
EGFL7	1	0	0	1
EGR1	0	1	0	1
EHBP1	0	1	1	1
EHMT1	1	1	0	2
EHMT2	0	0	1	0
EIF2AK1	0	0	1	0
EIF2AK4	0	1	0	1
EIF2S3L	0	0	0	0
EIF3D	0	1	0	1
EIF3H	0	1	0	1
EIF3L	0	0	1	0
EIF4A2	1	0	0	1
EIF4A3	0	0	1	0
EIF4E2	0	0	1	0
EIF4G1	0	0	1	0
EIF4G2	1	0	0	1
EIF4G3	0	1	0	1
EIF5A	0	1	0	1
EIF5B	1	0	0	1
ELAC2	0	2	0	2
ELFN2	0	2	0	2
ELL2	1	0	0	1
ELMO2	0	2	0	2
ELN	2	0	0	2
ELOF1	0	1	0	1
ELOVL6	0	1	0	1
ELP2	0	1	0	1
ELP3	0	1	0	1
ELP4	0	0	1	0
ELTD1	0	0	1	0
EMC1	0	1	0	1
EML3	0	1	0	1
EML5	0	1	0	1
EML6	0	2	0	2
EMR1	0	1	0	1
ENAH	0	0	0	0
ENG	0	1	0	1
ENKD1	0	1	0	1
ENPP2	0	1	0	1
ENPP5	0	1	0	1
ENTPD3	0	1	0	1
EOMES	0	0	1	0
EP300	2	2	0	4
EP400	1	1	0	2
EPAS1	0	0	1	0
EPB41L4A	1	0	1	1
EPDR1	0	1	0	1
EPHA1	0	1	1	1
EPHA4	0	1	0	1
EPHA7	1	0	0	1
EPN3	0	1	0	1
EPPK1	0	2	0	2
EPS8L1	0	1	0	1
EPS8L2	0	1	0	1
EPT1	0	1	0	1
EPYC	0	0	1	0
EQTN	0	0	1	0
ERBB2	0	1	1	1
ERBB2IP	0	1	0	1
ERBB3	0	1	1	1
ERBB4	0	0	1	0
ERCC3	0	1	0	1
ERCC5	0	2	0	2
ERCC6-PGBD3	0	1	0	1
ERF	0	1	0	1
ERI1	0	1	0	1
ERI2	0	1	0	1
ERLIN2	0	1	0	1
ERP29	0	1	0	1
ERRFI1	0	1	0	1
ERVMER34-1	0	1	0	1
ESAM	0	1	0	1
ESPL1	0	0	1	0
ESRP2	0	1	0	1
ETFDH	0	0	1	0
ETNPPL	0	0	1	0
ETS1	1	0	0	1
ETS2	0	0	1	0
ETV3L	0	0	1	0
EVC	0	0	1	0
EVI2B	1	0	0	1
EVPL	0	0	1	0
EVX1	0	1	0	1
EXD3	0	1	0	1
EXOC1	0	1	0	1
EXOC2	0	0	1	0
EXOC4	0	0	1	0
EXOC8	0	0	1	0
EXOSC4	0	1	0	1
EXPH5	0	0	1	0
EXT2	0	1	0	1
EXTL1	0	1	0	1
EXTL3	0	1	0	1
EYA1	1	0	0	1
EYS	0	1	0	1
EZH1	0	1	0	1
EZR	0	2	0	2
F2RL2	0	1	0	1
F2RL3	0	1	0	1
FA2H	0	0	0	0
FABP2	0	1	0	1
FADS3	0	1	0	1
FAM101A	0	1	0	1
FAM109B	0	0	1	0
FAM110B	0	1	0	1
FAM111A	0	0	1	0
FAM124A	0	1	0	1
FAM124B	0	1	0	1
FAM129C	0	0	0	0
FAM134A	1	0	0	1
FAM135A	0	3	0	3
FAM135B	0	1	0	1
FAM149B1	0	1	0	1
FAM161A	0	1	0	1
FAM171B	0	1	0	1
FAM174B	0	1	0	1
FAM175A	0	0	1	0
FAM178A	0	2	0	2
FAM179B	0	1	0	1
FAM188A	0	1	0	1
FAM194A	0	1	0	1
FAM196B	0	1	0	1
FAM200A	1	0	0	1
FAM208B	0	1	0	1
FAM217B	0	1	0	1
FAM21C	0	1	0	1
FAM222A	0	0	1	0
FAM3D	0	0	1	0
FAM46A	1	0	0	1
