hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func	fdr_lof	bonferroni_lof
RAB11FIP4	17	0	0	0	1	1	4.21116458975206e-05	1	1
RAB2B	14	0	0	0	1	1	1.55852273009055e-05	1	1
RAB3GAP1	2	1	0	0	1	1.05103867735266e-05	1.9158031887945e-09	8.13009536785384e-05	0.0266333200841164
RAB6B	3	0	0	0	1	1	1.85677819046666e-05	1	1
RAB8A	19	0	0	0	1	1	1.73295134849996e-05	1	1
RABGAP1L	1	0	1	0	1	2.2254697396403e-06	1.504069886679e-11	6.07946138686368e-05	0.00563934032024852
RAC1	7	0	0	0	2	1	1.15905835155689e-10	1	1
RACGAP1	12	0	0	0	2	1	9.21489039336581e-10	1	1
RAD9A	11	0	0	0	2	1	5.14946503398226e-10	1	1
RAF1	3	0	0	0	3	1	1.6325761942056e-14	1	1
RANBP2	2	0	0	0	1	1	0.000184078705128875	1	1
RANBP6	9	0	0	0	1	1	6.40061486703571e-05	1	1
RAP1GDS1	4	0	0	0	1	1	3.34723541405958e-05	1	1
RAPGEF6	5	0	0	0	2	1	4.64421010756739e-09	1	1
RAPSN	11	0	0	0	1	1	2.66302405934666e-05	1	1
RASA1	5	0	0	0	2	1	2.4790491558846e-09	1	1
RASA2	3	1	0	0	1	9.29156069900078e-06	1.24702704436114e-09	7.61076252761163e-05	0.023544814811268
RASGRF1	15	0	0	0	1	1	0.00010406979535858	1	1
RASGRF2	5	0	0	0	2	1	4.27471292500639e-09	1	1
RASSF8	12	0	0	0	1	1	2.36373822463306e-05	1	1
RASSF9	12	0	0	0	1	1	2.4148867381616e-05	1	1
RAVER1	19	0	0	0	1	1	5.91492015577417e-05	1	1
RBBP8NL	20	0	0	0	1	1	3.96440464794709e-05	1	1
RBFOX2	22	1	2	0	1	1.03919066769787e-17	3.1869079847436e-20	3.29163643993301e-15	2.63330915194641e-14
RBM19	12	0	0	0	1	1	7.32225079148673e-05	1	1
RBM25	14	0	0	0	1	1	6.39330856357745e-05	1	1
RBM27	5	0	0	0	1	1	6.80540870872455e-05	1	1
RBM8A	1	1	0	0	0	2.11427820294752e-06	1.72298551668582e-05	6.07946138686368e-05	0.00535758096626901
RBMS1	2	0	1	0	0	4.60358956446762e-06	2.67279876755628e-05	6.11032225490884e-05	0.0116654959563609
RBP1	3	0	0	0	1	1	8.03029270299793e-06	1	1
RBPJ	4	0	0	0	1	1	3.25896637959032e-05	1	1
RBPJL	20	0	0	0	1	1	4.05772288985832e-05	1	1
RBX1	22	0	0	0	1	1	9.03363135135152e-06	1	1
RCBTB2	13	0	0	0	1	1	3.73437833087537e-05	1	1
RCC1	1	0	0	0	1	1	3.07119326018645e-05	1	1
RCSD1	1	0	0	0	1	1	2.62649300014721e-05	1	1
RD3	1	0	0	0	1	1	1.94054955298622e-05	1	1
RDH5	12	0	0	0	1	1	2.48015198804818e-05	1	1
RECQL5	17	0	0	0	1	1	7.23507123201105e-05	1	1
REG4	1	0	0	0	1	1	1.05260676533804e-05	1	1
RELL2	5	0	0	0	1	1	2.23962430233584e-05	1	1
RETSAT	2	0	1	0	1	6.055234588331e-06	9.29038406590001e-10	6.34596744522814e-05	0.0153439644468307
RFC4	3	0	0	0	1	1	2.45537926243927e-05	1	1
RFX2	19	0	0	0	1	1	5.76730333424284e-05	1	1
RGL3	19	0	0	0	1	1	5.27457274768851e-05	1	1
RGMB	5	0	0	0	1	1	2.92392571854911e-05	1	1
RGS20	8	0	0	0	1	1	2.70095281859939e-05	1	1
RGSL1	1	0	0	0	1	1	0	1	1
RHAG	6	0	0	0	1	1	2.54685466558628e-05	1	1
RHBDF1	16	0	0	0	1	1	7.75085480550171e-05	1	1
RHOD	11	0	0	0	1	1	1.62305874746791e-05	1	1
RHOT2	16	0	0	0	1	1	5.83752458245619e-05	1	1
RIMS1	6	0	0	0	1	1	0.000111854409103531	1	1
RIMS3	1	0	0	0	1	1	2.61924595216009e-05	1	1
RIN3	14	0	0	0	1	1	7.70119925451851e-05	1	1
RIOK1	6	0	0	0	1	1	3.46478426557812e-05	1	1
RIT1	1	0	0	0	2	1	1.56567803322647e-10	1	1
RMDN1	8	0	0	0	1	1	2.03981994047294e-05	1	1
RNF10	12	0	0	0	1	1	5.70276393528529e-05	1	1
RNF115	1	0	0	0	1	1	1.98374240813515e-05	1	1
RNF123	3	0	0	0	1	1	0.000103098355429598	1	1
RNF133	7	0	0	0	1	1	2.23242949593045e-05	1	1
RNF14	5	0	0	0	1	1	2.77637337387469e-05	1	1
RNF183	9	0	0	0	1	1	1.55813200484697e-05	1	1
RNF185	22	0	0	0	1	1	1.31615455613006e-05	1	1
RNF20	9	0	1	0	0	1.15154935478027e-05	7.02919293857002e-05	8.45804656525569e-05	0.0291802606501321
RNF207	1	0	1	0	0	5.60922383623077e-06	4.15496349641609e-05	6.33407054906252e-05	0.0142137732010088
RNF208	9	0	0	0	1	1	2.36500699881564e-05	1	1
RNF214	11	0	1	0	0	6.30329945741068e-06	4.4743482048699e-05	6.43414699765319e-05	0.0159725608250787
RNF219	13	0	0	0	1	1	3.98111403441377e-05	1	1
RNF220	1	0	0	0	1	1	4.50987375572198e-05	1	1
RNF38	9	0	0	0	1	1	2.9968829500124e-05	1	1
RNF44	5	0	0	0	1	1	3.00574276435402e-05	1	1
RNPEPL1	2	0	0	0	1	1	4.04875055366438e-05	1	1
ROBO1	3	0	0	0	1	1	0.000108053438473241	1	1
ROBO2	3	0	0	0	1	1	9.66446776720967e-05	1	1
ROCK1	18	1	0	0	0	1.57091741813786e-05	8.08496560170498e-05	0.000106435955549769	0.0398070473756135
ROCK2	2	0	0	0	2	1	3.70059731478902e-09	1	1
RORA	15	0	0	0	1	1	3.84959449718421e-05	1	1
RP1	8	0	0	0	1	1	0.000120856936549471	1	1
RP11-455G16.1	4	0	0	0	1	1	0	1	1
RPEL1	10	0	0	0	1	1	0	1	1
RPL10	X	0	0	0	2	1	8.77357616011084e-12	1	1
RPL14	3	0	0	0	1	1	1.44640967039252e-05	1	1
